;;;;;t;r1;r2;n;;;;;t;r1;r2;n;;;;;;;t;r1;r2;n;d1;d2;alpha;
31;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;31;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;31;THORLABS;LA4545;102,3063886;45,72;10,64;46;1E+12;1,44962979;17,39887441;13,98022688;-4,26E-06;0,047216
32;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;32;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;32;THORLABS;LA4380;102,3063886;22,86;3,78;46;1E+12;1,44962979;17,39890546;13,97803231;-4,26E-06;0,047217
33;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;33;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;33;THORLABS;LA4600;102,3063886;11,43;2,24;46;1E+12;1,44962979;17,39890902;13,97778119;-4,26E-06;0,047217
34;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;34;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;34;THORLABS;LE4173;102,356329;22,86;4;31;91,17;1,44962979;17,39732486;15,30494328;1,31E-05;0,047747
35;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;35;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;35;THORLABS;LE4412;102,4234187;45,72;10,65;30,55;80,94;1,44962979;17,39951141;18,16012582;1,26E-06;0,047946
36;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;36;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;36;THORLABS;LB1106-C;127,0642847;45,72;8,12;127,37;-127,37;1,506633485;17,61296492;17,0855414;7,88E-06;0,054307
37;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;37;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;37;THORLABS;LA1986-A;127,0741116;22,86;3,26;64,38;1E+12;1,506633485;17,61325775;19,82290282;6,12E-06;0,054449
38;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;38;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;38;THORLABS;LA1986;127,0741116;22,86;3,26;64,38;1E+12;1,506633485;17,61325775;19,82290282;6,12E-06;0,054449
39;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;39;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;39;THORLABS;LB1904-B;127,0745765;22,86;3,26;128,21;-128,21;1,506633485;17,61323956;18,73589986;6,27E-06;0,054317
40;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;40;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;40;THORLABS;LE1156;127,1083875;22,86;3,26;40,6;106,9;1,506633485;17,61427738;21,17520478;-8,76E-08;0,054787
41;THORLABS;LB1258-A;30,49273846;11,43;3,14;30,36;-30,36;1,506633485;41;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;41;THORLABS;LA1257-A;76,18920018;22,5;4,1;38,6;1E+12;1,506633485;18,66045548;7,758994913;1,71E-06;0,049639
42;THORLABS;LB1258-A;30,49273846;11,43;3,14;30,36;-30,36;1,506633485;42;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;42;THORLABS;LA1765-C;76,24841458;27;5,53;38,63;1E+12;1,506633485;18,66098523;7,758539853;7,08E-06;0,049657
43;THORLABS;LB1258-A;30,49273846;11,43;3,14;30,36;-30,36;1,506633485;43;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;43;THORLABS;LA1145-C;76,24841458;45,72;12,52;38,63;1E+12;1,506633485;18,66104135;7,756359946;7,08E-06;0,049659
44;THORLABS;LB1258-A;30,49273846;11,43;3,14;30,36;-30,36;1,506633485;44;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;44;THORLABS;LA1608-A;76,24841458;22,86;4,14;38,63;1E+12;1,506633485;18,66096533;7,759312945;7,08E-06;0,049657
45;THORLABS;LB1258-A;30,49273846;11,43;3,14;30,36;-30,36;1,506633485;45;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;45;THORLABS;LA4078;76,72979143;45,72;14,14;34,5;1E+12;1,44962979;18,67172601;7,911857518;-5,82E-06;0,050212
46;THORLABS;LB1258-A;30,49273846;11,43;3,14;30,36;-30,36;1,506633485;46;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;46;THORLABS;LA4725;76,72979143;22,86;4,42;34,5;1E+12;1,44962979;18,67179645;7,90905531;-5,82E-06;0,050215
47;THORLABS;LA1289-B;30,49541821;11,43;3,16;15,45;1E+12;1,506633485;47;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;47;THORLABS;LA1257-A;76,18920018;22,5;4,1;38,6;1E+12;1,506633485;17,62613829;7,765015572;1,45E-06;-0,009578
48;THORLABS;LA1289-B;30,49541821;11,43;3,16;15,45;1E+12;1,506633485;48;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;48;THORLABS;LA1765-C;76,24841458;27;5,53;38,63;1E+12;1,506633485;17,62697372;7,771567596;4,21E-06;-0,009549
49;THORLABS;LA1289-B;30,49541821;11,43;3,16;15,45;1E+12;1,506633485;49;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;49;THORLABS;LA1145-C;76,24841458;45,72;12,52;38,63;1E+12;1,506633485;17,62701424;7,769991252;4,21E-06;-0,009547
50;THORLABS;LA1289-B;30,49541821;11,43;3,16;15,45;1E+12;1,506633485;50;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;50;THORLABS;LA1608-A;76,24841458;22,86;4,14;38,63;1E+12;1,506633485;17,62695639;7,772241969;4,21E-06;-0,009549
